id,name,height,weight,base_experience,types,abilities,stats
1,bulbasaur,7,69,64,"['grass', 'poison']","['overgrow', 'chlorophyll']","{'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}"
2,ivysaur,10,130,142,"['grass', 'poison']","['overgrow', 'chlorophyll']","{'hp': 60, 'attack': 62, 'defense': 63, 'special-attack': 80, 'special-defense': 80, 'speed': 60}"
3,venusaur,20,1000,236,"['grass', 'poison']","['overgrow', 'chlorophyll']","{'hp': 80, 'attack': 82, 'defense': 83, 'special-attack': 100, 'special-defense': 100, 'speed': 80}"
4,charmander,6,85,62,['fire'],"['blaze', 'solar-power']","{'hp': 39, 'attack': 52, 'defense': 43, 'special-attack': 60, 'special-defense': 50, 'speed': 65}"
5,charmeleon,11,190,142,['fire'],"['blaze', 'solar-power']","{'hp': 58, 'attack': 64, 'defense': 58, 'special-attack': 80, 'special-defense': 65, 'speed': 80}"
6,charizard,17,905,240,"['fire', 'flying']","['blaze', 'solar-power']","{'hp': 78, 'attack': 84, 'defense': 78, 'special-attack': 109, 'special-defense': 85, 'speed': 100}"
7,squirtle,5,90,63,['water'],"['torrent', 'rain-dish']","{'hp': 44, 'attack': 48, 'defense': 65, 'special-attack': 50, 'special-defense': 64, 'speed': 43}"
8,wartortle,10,225,142,['water'],"['torrent', 'rain-dish']","{'hp': 59, 'attack': 63, 'defense': 80, 'special-attack': 65, 'special-defense': 80, 'speed': 58}"
9,blastoise,16,855,239,['water'],"['torrent', 'rain-dish']","{'hp': 79, 'attack': 83, 'defense': 100, 'special-attack': 85, 'special-defense': 105, 'speed': 78}"
10,caterpie,3,29,39,['bug'],"['shield-dust', 'run-away']","{'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}"
11,metapod,7,99,72,['bug'],['shed-skin'],"{'hp': 50, 'attack': 20, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 30}"
12,butterfree,11,320,178,"['bug', 'flying']","['compound-eyes', 'tinted-lens']","{'hp': 60, 'attack': 45, 'defense': 50, 'special-attack': 90, 'special-defense': 80, 'speed': 70}"
13,weedle,3,32,39,"['bug', 'poison']","['shield-dust', 'run-away']","{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 20, 'special-defense': 20, 'speed': 50}"
14,kakuna,6,100,72,"['bug', 'poison']",['shed-skin'],"{'hp': 45, 'attack': 25, 'defense': 50, 'special-attack': 25, 'special-defense': 25, 'speed': 35}"
15,beedrill,10,295,178,"['bug', 'poison']","['swarm', 'sniper']","{'hp': 65, 'attack': 90, 'defense': 40, 'special-attack': 45, 'special-defense': 80, 'speed': 75}"
